Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Purchased_Based_on_Recommendation,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,beauty and personal care,clothing and fashion,groceries and gourmet food,home and kitchen,others
2023-06-04 13:28:19-05:30,23,female,few times a month,['beauty and personal care'],yes,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,sometimes,yes,occasionally,yes,2,yes,1,1,competitive prices,reducing packaging waste,1,0,0,0,0
2023-06-04 14:30:44-05:30,23,female,once a month,['clothing and fashion'],yes,few times a month,keyword,multiple pages,1,yes,often,high shipping costs,rarely,no,heavily,yes,2,sometimes,3,2,wide product selection,reducing packaging waste,0,1,0,0,0
2023-06-04 17:04:56-05:30,24,prefer not to say,few times a month,"['groceries and gourmet food', 'clothing and fashion']",no,few times a month,keyword,multiple pages,2,yes,sometimes,found a better price elsewhere,rarely,no,occasionally,no,4,no,3,3,competitive prices,product quality and accuracy,0,1,1,0,0
2023-06-04 17:13:00-05:30,24,female,once a month,"['beauty and personal care', 'clothing and fashion', 'others']",sometimes,few times a month,keyword,first page,5,maybe,sometimes,found a better price elsewhere,sometimes,yes,heavily,yes,3,sometimes,3,4,competitive prices,product quality and accuracy,1,1,0,0,1
2023-06-04 17:28:06-05:30,22,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",yes,few times a month,filter,multiple pages,1,yes,sometimes,high shipping costs,rarely,no,heavily,yes,4,yes,2,2,competitive prices,product quality and accuracy,1,1,0,0,0
2023-06-04 18:01:59-05:30,21,female,less than once a month,['clothing and fashion'],no,rarely,categories,multiple pages,1,yes,rarely,changed my mind or no longer need the item,never,no,heavily,yes,5,no,5,2,wide product selection,product quality and accuracy,0,1,0,0,0
2023-06-04 18:31:41-05:30,22,female,less than once a month,['clothing and fashion'],no,rarely,filter,multiple pages,1,yes,often,high shipping costs,rarely,no,heavily,yes,3,sometimes,3,3,wide product selection,shipping speed and reliability,0,1,0,0,0
2023-06-04 19:13:12-05:30,21,female,few times a month,"['beauty and personal care', 'clothing and fashion']",no,rarely,keyword,multiple pages,1,yes,often,found a better price elsewhere,rarely,no,heavily,sometimes,3,sometimes,1,3,competitive prices,shipping speed and reliability,1,1,0,0,0
2023-06-04 19:23:21-05:30,20,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",sometimes,few times a month,keyword,first page,1,yes,sometimes,changed my mind or no longer need the item,often,no,moderately,yes,2,yes,2,2,wide product selection,reducing packaging waste,1,1,0,0,0
2023-06-04 19:33:12-05:30,23,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",no,rarely,keyword,multiple pages,1,yes,rarely,found a better price elsewhere,rarely,no,heavily,yes,3,yes,3,4,wide product selection,product quality and accuracy,1,1,0,0,0
2023-06-04 19:45:33-05:30,22,female,less than once a month,['clothing and fashion'],no,few times a month,categories,multiple pages,1,maybe,sometimes,found a better price elsewhere,sometimes,no,heavily,yes,3,sometimes,3,2,competitive prices,shipping speed and reliability,0,1,0,0,0
2023-06-04 19:48:31-05:30,25,female,multiple times a week,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",no,few times a week,keyword,multiple pages,1,yes,sometimes,high shipping costs,sometimes,yes,heavily,yes,3,yes,3,1,wide product selection,product quality and accuracy,1,1,0,1,0
2023-06-04 20:00:11-05:30,23,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",no,few times a month,keyword,first page,1,maybe,sometimes,changed my mind or no longer need the item,rarely,no,heavily,sometimes,2,no,3,2,competitive prices,product quality and accuracy,1,1,0,0,0
2023-06-04 20:01:45-05:30,24,female,once a month,"['clothing and fashion', 'home and kitchen']",no,few times a month,keyword,multiple pages,1,yes,often,changed my mind or no longer need the item,often,yes,moderately,yes,2,yes,2,2,wide product selection,product quality and accuracy,0,1,0,1,0
